Age,Gender,Education_Level,Profession,Sleep_Hours,Physical_Activity_min/wk,Social_Interactions,Screen_Time_hrs/day,Work_Hours_hrs/wk,Mental_Health_Status
45,Female,Master's/PhD,Teacher,8.5,300,High,1.5,40,Good
22,Male,High School,Unemployed,5.2,30,Low,9.0,0,Bad
31,Male,Bachelor's,Finance,5.8,180,Medium,4.5,65,Bad
58,Non-binary,Associate's,Artist,7.3,210,Medium,3.0,30,Good
37,Female,Bachelor's,Tech,6.5,90,Medium,5.0,50,Normal
28,Male,Bachelor's,Low Stress,7.8,150,High,2.5,40,Good
50,Female,Master's/PhD,Healthcare,6.0,45,Low,6.0,55,Bad
19,Male,High School,Unemployed,7.0,250,Medium,3.5,0,Normal
42,Non-binary,Bachelor's,Teacher,7.5,120,High,4.0,45,Normal
33,Female,Associate's,High Stress,4.8,0,Low,7.5,60,Bad
61,Female,Master's/PhD,Library,8.2,180,High,1.8,35,Good
27,Male,Bachelor's,Tech,6.9,105,Medium,5.5,52,Normal
39,Non-binary,Associate's,Low Stress,7.1,130,Medium,3.2,42,Normal
48,Male,Bachelor's,Finance,6.2,60,Low,7.1,62,Bad
25,Female,High School,Unemployed,5.5,15,Low,8.8,0,Bad
35,Male,Master's/PhD,Healthcare,7.7,240,Medium,2.1,45,Good
55,Female,Associate's,Artist,6.8,110,Medium,4.0,38,Normal
30,Male,Bachelor's,Tech,5.4,35,Low,6.5,58,Bad
44,Female,Master's/PhD,Teacher,7.9,160,High,2.0,41,Good
21,Non-binary,High School,Unemployed,6.5,50,Low,7.0,0,Normal
53,Male,Bachelor's,Low Stress,8.0,350,High,1.0,35,Good
41,Female,Master's/PhD,Finance,6.3,80,Medium,5.2,55,Normal
34,Male,Associate's,Healthcare,5.0,10,Low,7.8,60,Bad
26,Female,Bachelor's,Tech,7.2,190,High,3.8,48,Good
60,Male,Master's/PhD,Teacher,8.8,280,High,1.2,30,Good
29,Non-binary,High School,Unemployed,6.1,40,Low,8.2,0,Bad
47,Female,Bachelor's,Low Stress,7.5,140,Medium,4.1,42,Normal
32,Male,Master's/PhD,Finance,5.6,25,Low,7.3,68,Bad
51,Female,Associate's,Artist,7.0,150,High,3.5,35,Good
23,Male,Bachelor's,Tech,6.7,95,Medium,5.8,50,Normal
49,Female,Master's/PhD,Healthcare,5.3,0,Low,8.5,62,Bad
36,Non-binary,Associate's,Teacher,8.1,220,High,1.5,40,Good
43,Male,Bachelor's,Library,7.6,180,Medium,2.8,38,Good
20,Female,High School,Unemployed,6.3,20,Low,7.9,0,Bad
54,Male,Master's/PhD,Finance,6.8,110,Medium,4.9,56,Normal
38,Female,Associate's,Artist,7.4,160,High,3.0,40,Good
24,Non-binary,Bachelor's,Tech,5.9,55,Low,6.9,55,Bad
56,Male,Master's/PhD,Healthcare,8.0,200,High,1.9,40,Good
40,Female,Bachelor's,Teacher,7.1,100,Medium,4.5,45,Normal
52,Non-binary,High School,Unemployed,5.7,10,Low,9.5,0,Bad
